rule_id,signal,rule_type,pattern,universe,status,role_seed,side_seed,quality_seed,score_base,action,n,avg10d_pct,med10d_pct,fail10d_pct,source_file,notes
T1_NASDAQ_GT5_REJECT_COMPOSITE_002,T1,REJECT_COMPOSITE,T1L3EUR,NASDAQ_GT5,REJECT,SHORT_WATCH,BEARISH_CANDIDATE,REJECT,-40,Long-reject pattern. Promote to SHORT_GO only after breakdown confirmation.,2627,0.451,-0.073,28.512,T1_analytics.docx,Composite rule seed from T1_analytics.docx
T1_NASDAQ_GT5_REJECT_COMPOSITE_003,T1,REJECT_COMPOSITE,T1L3EB,NASDAQ_GT5,REJECT,SHORT_WATCH,BEARISH_CANDIDATE,REJECT,-40,Long-reject pattern. Promote to SHORT_GO only after breakdown confirmation.,1487,1.379,-0.108,28.85,T1_analytics.docx,Composite rule seed from T1_analytics.docx
T1_NASDAQ_GT5_REJECT_COMPOSITE_004,T1,REJECT_COMPOSITE,T1L34NU,NASDAQ_GT5,REJECT,SHORT_WATCH,BEARISH_CANDIDATE,REJECT,-40,Long-reject pattern. Promote to SHORT_GO only after breakdown confirmation.,946,0.072,-0.164,26.638,T1_analytics.docx,Composite rule seed from T1_analytics.docx
T1_NASDAQ_GT5_REJECT_COMPOSITE_005,T1,REJECT_COMPOSITE,T1L12NH,NASDAQ_GT5,REJECT,SHORT_WATCH,BEARISH_CANDIDATE,REJECT,-40,Long-reject pattern. Promote to SHORT_GO only after breakdown confirmation.,886,0.603,-0.289,25.959,T1_analytics.docx,Composite rule seed from T1_analytics.docx
T1_NASDAQ_GT5_REJECT_COMPOSITE_006,T1,REJECT_COMPOSITE,T1L34NB,NASDAQ_GT5,REJECT,SHORT_WATCH,BEARISH_CANDIDATE,REJECT,-40,Long-reject pattern. Promote to SHORT_GO only after breakdown confirmation.,511,-0.29,-0.403,28.767,T1_analytics.docx,Composite rule seed from T1_analytics.docx
T1_SP500_SEQ4_001,T1,SEQ4,Z2G|T1|Z5|T1,SP500,STRONG,BULL_A,BULLISH_TRIGGER,STRONG,70,High-priority bullish trigger candidate if context/price-position agrees.,23,6.467,6.286,0.0,T1_analytics.docx,Unrestricted 4-bar sequence seed. Prior 3 = Z2G|T1|Z5; final = T1.
T1_SP500_SEQ4_002,T1,SEQ4,Z2G|T1G|Z5|T1,SP500,STRONG,BULL_A,BULLISH_TRIGGER,STRONG,70,High-priority bullish trigger candidate if context/price-position agrees.,21,5.023,4.839,4.762,T1_analytics.docx,Unrestricted 4-bar sequence seed. Prior 3 = Z2G|T1G|Z5; final = T1.
T1_SP500_SEQ4_003,T1,SEQ4,Z2G|Z2G|Z6|T1,SP500,STRONG,BULL_A,BULLISH_TRIGGER,STRONG,70,High-priority bullish trigger candidate if context/price-position agrees.,29,1.904,3.401,10.345,T1_analytics.docx,Unrestricted 4-bar sequence seed. Prior 3 = Z2G|Z2G|Z6; final = T1.
T1_SP500_SEQ4_004,T1,SEQ4,Z1|Z2|Z2G|T1,SP500,STRONG,BULL_A,BULLISH_TRIGGER,STRONG,70,High-priority bullish trigger candidate if context/price-position agrees.,23,2.757,3.128,13.043,T1_analytics.docx,Unrestricted 4-bar sequence seed. Prior 3 = Z1|Z2|Z2G; final = T1.
T1_SP500_SEQ4_005,T1,SEQ4,Z2G|T4|Z3|T1,SP500,STRONG,BULL_A,BULLISH_TRIGGER,STRONG,70,High-priority bullish trigger candidate if context/price-position agrees.,36,3.485,3.013,11.111,T1_analytics.docx,Unrestricted 4-bar sequence seed. Prior 3 = Z2G|T4|Z3; final = T1.
T1_SP500_SEQ4_006,T1,SEQ4,T2G|T2|Z3|T1,SP500,STRONG,BULL_A,BULLISH_TRIGGER,STRONG,70,High-priority bullish trigger candidate if context/price-position agrees.,31,2.63,2.975,12.903,T1_analytics.docx,Unrestricted 4-bar sequence seed. Prior 3 = T2G|T2|Z3; final = T1.
T1_SP500_SEQ4_007,T1,SEQ4,Z1|Z2G|Z2G|T1,SP500,REJECT,SHORT_WATCH,BEARISH_CANDIDATE,REJECT,-40,Long-reject pattern. Promote to SHORT_GO only after breakdown confirmation.,26,1.286,2.744,26.923,T1_analytics.docx,Unrestricted 4-bar sequence seed. Prior 3 = Z1|Z2G|Z2G; final = T1.
T1_SP500_SEQ4_008,T1,SEQ4,Z5|Z2G|Z2G|T1,SP500,STRONG,BULL_A,BULLISH_TRIGGER,STRONG,70,High-priority bullish trigger candidate if context/price-position agrees.,44,3.473,2.718,6.818,T1_analytics.docx,Unrestricted 4-bar sequence seed. Prior 3 = Z5|Z2G|Z2G; final = T1.
T1_SP500_SEQ4_009,T1,SEQ4,Z2G|Z2|Z2G|T1,SP500,STRONG,BULL_A,BULLISH_TRIGGER,STRONG,70,High-priority bullish trigger candidate if context/price-position agrees.,47,2.714,2.356,10.638,T1_analytics.docx,Unrestricted 4-bar sequence seed. Prior 3 = Z2G|Z2|Z2G; final = T1.
T1_SP500_SEQ4_010,T1,SEQ4,Z3|T4|Z9|T1,SP500,STRONG,BULL_A,BULLISH_TRIGGER,STRONG,70,High-priority bullish trigger candidate if context/price-position agrees.,27,2.717,2.208,7.407,T1_analytics.docx,Unrestricted 4-bar sequence seed. Prior 3 = Z3|T4|Z9; final = T1.
T1_SP500_SEQ4_011,T1,SEQ4,Z2|T1|Z3|T1,SP500,GOOD,BULL_B,BULLISH_TRIGGER,GOOD,55,Bullish trigger candidate; needs context confirmation.,28,3.191,1.858,3.571,T1_analytics.docx,Unrestricted 4-bar sequence seed. Prior 3 = Z2|T1|Z3; final = T1.
T1_SP500_SEQ4_012,T1,SEQ4,Z4|Z2G|Z2G|T1,SP500,GOOD,BULL_B,BULLISH_TRIGGER,GOOD,55,Bullish trigger candidate; needs context confirmation.,40,0.437,1.689,10.0,T1_analytics.docx,Unrestricted 4-bar sequence seed. Prior 3 = Z4|Z2G|Z2G; final = T1.
T1_SP500_REJECT_SEQ4_001,T1,REJECT_SEQ4,T2G|T2G|Z9|T1,SP500,REJECT,SHORT_WATCH,BEARISH_CANDIDATE,REJECT,-40,Long-reject pattern. Promote to SHORT_GO only after breakdown confirmation.,37,-2.583,-2.519,32.432,T1_analytics.docx,Unrestricted 4-bar sequence seed. Prior 3 = T2G|T2G|Z9; final = T1.
T1_SP500_REJECT_SEQ4_002,T1,REJECT_SEQ4,T2|Z1|Z2G|T1,SP500,REJECT,SHORT_WATCH,BEARISH_CANDIDATE,REJECT,-40,Long-reject pattern. Promote to SHORT_GO only after breakdown confirmation.,22,-2.283,-1.941,18.182,T1_analytics.docx,Unrestricted 4-bar sequence seed. Prior 3 = T2|Z1|Z2G; final = T1.
T1_SP500_REJECT_SEQ4_003,T1,REJECT_SEQ4,T1|Z3|Z2G|T1,SP500,REJECT,SHORT_WATCH,BEARISH_CANDIDATE,REJECT,-40,Long-reject pattern. Promote to SHORT_GO only after breakdown confirmation.,25,-0.581,-1.834,16.0,T1_analytics.docx,Unrestricted 4-bar sequence seed. Prior 3 = T1|Z3|Z2G; final = T1.
T1_SP500_REJECT_SEQ4_004,T1,REJECT_SEQ4,Z1|Z2|Z2|T1,SP500,REJECT,SHORT_WATCH,BEARISH_CANDIDATE,REJECT,-40,Long-reject pattern. Promote to SHORT_GO only after breakdown confirmation.,25,0.138,-1.701,16.0,T1_analytics.docx,Unrestricted 4-bar sequence seed. Prior 3 = Z1|Z2|Z2; final = T1.
T1_SP500_REJECT_SEQ4_005,T1,REJECT_SEQ4,Z2|Z2G|Z2G|T1,SP500,REJECT,SHORT_WATCH,BEARISH_CANDIDATE,REJECT,-40,Long-reject pattern. Promote to SHORT_GO only after breakdown confirmation.,61,-1.009,-1.698,21.311,T1_analytics.docx,Unrestricted 4-bar sequence seed. Prior 3 = Z2|Z2G|Z2G; final = T1.
T1_SP500_REJECT_SEQ4_006,T1,REJECT_SEQ4,Z2G|T4|Z9|T1,SP500,REJECT,SHORT_WATCH,BEARISH_CANDIDATE,REJECT,-40,Long-reject pattern. Promote to SHORT_GO only after breakdown confirmation.,22,-1.839,-1.45,36.364,T1_analytics.docx,Unrestricted 4-bar sequence seed. Prior 3 = Z2G|T4|Z9; final = T1.
T1_SP500_REJECT_SEQ4_007,T1,REJECT_SEQ4,T2G|T2G|Z3|T1,SP500,REJECT,SHORT_WATCH,BEARISH_CANDIDATE,REJECT,-40,Long-reject pattern. Promote to SHORT_GO only after breakdown confirmation.,32,-0.422,-1.291,15.625,T1_analytics.docx,Unrestricted 4-bar sequence seed. Prior 3 = T2G|T2G|Z3; final = T1.
T1_SP500_REJECT_SEQ4_008,T1,REJECT_SEQ4,T2|Z4|Z2G|T1,SP500,REJECT,SHORT_WATCH,BEARISH_CANDIDATE,REJECT,-40,Long-reject pattern. Promote to SHORT_GO only after breakdown confirmation.,23,-0.381,-1.224,17.391,T1_analytics.docx,Unrestricted 4-bar sequence seed. Prior 3 = T2|Z4|Z2G; final = T1.
T1_NASDAQ_GT5_SEQ4_001,T1,SEQ4,Z1G|Z2G|Z2|T1,NASDAQ_GT5,STRONG,BULL_A,BULLISH_TRIGGER,STRONG,70,High-priority bullish trigger candidate if context/price-position agrees.,49,5.294,5.195,18.367,T1_analytics.docx,Unrestricted 4-bar sequence seed. Prior 3 = Z1G|Z2G|Z2; final = T1.
T1_NASDAQ_GT5_SEQ4_002,T1,SEQ4,Z2G|T5|Z4|T1,NASDAQ_GT5,STRONG,BULL_A,BULLISH_TRIGGER,STRONG,70,High-priority bullish trigger candidate if context/price-position agrees.,71,7.121,4.497,19.718,T1_analytics.docx,Unrestricted 4-bar sequence seed. Prior 3 = Z2G|T5|Z4; final = T1.
T1_NASDAQ_GT5_SEQ4_003,T1,SEQ4,Z2G|Z2G|Z6|T1,NASDAQ_GT5,AVERAGE,BULL_WATCH,BULLISH_CONTEXT,AVERAGE,35,Average T signal; use only with confirming composite/sequence/EMA/price-position.,42,0.993,3.43,23.81,T1_analytics.docx,Unrestricted 4-bar sequence seed. Prior 3 = Z2G|Z2G|Z6; final = T1.
T1_NASDAQ_GT5_SEQ4_004,T1,SEQ4,Z6|Z2G|Z2G|T1,NASDAQ_GT5,STRONG,BULL_A,BULLISH_TRIGGER,STRONG,70,High-priority bullish trigger candidate if context/price-position agrees.,68,3.082,3.123,19.118,T1_analytics.docx,Unrestricted 4-bar sequence seed. Prior 3 = Z6|Z2G|Z2G; final = T1.
T1_NASDAQ_GT5_SEQ4_005,T1,SEQ4,T1|Z1|Z2G|T1,NASDAQ_GT5,STRONG,BULL_A,BULLISH_TRIGGER,STRONG,70,High-priority bullish trigger candidate if context/price-position agrees.,43,5.305,3.055,13.953,T1_analytics.docx,Unrestricted 4-bar sequence seed. Prior 3 = T1|Z1|Z2G; final = T1.
T1_NASDAQ_GT5_SEQ4_006,T1,SEQ4,Z2G|Z2G|Z2|T1,NASDAQ_GT5,REJECT,SHORT_WATCH,BEARISH_CANDIDATE,REJECT,-40,Long-reject pattern. Promote to SHORT_GO only after breakdown confirmation.,161,3.569,3.0,26.708,T1_analytics.docx,Unrestricted 4-bar sequence seed. Prior 3 = Z2G|Z2G|Z2; final = T1.
T1_NASDAQ_GT5_SEQ4_007,T1,SEQ4,Z4|T3|Z9|T1,NASDAQ_GT5,REJECT,SHORT_WATCH,BEARISH_CANDIDATE,REJECT,-40,Long-reject pattern. Promote to SHORT_GO only after breakdown confirmation.,44,6.388,2.998,25.0,T1_analytics.docx,Unrestricted 4-bar sequence seed. Prior 3 = Z4|T3|Z9; final = T1.
T1_NASDAQ_GT5_SEQ4_008,T1,SEQ4,Z3|T4|Z9|T1,NASDAQ_GT5,STRONG,BULL_A,BULLISH_TRIGGER,STRONG,70,High-priority bullish trigger candidate if context/price-position agrees.,71,3.852,2.444,9.859,T1_analytics.docx,Unrestricted 4-bar sequence seed. Prior 3 = Z3|T4|Z9; final = T1.
T1_NASDAQ_GT5_SEQ4_009,T1,SEQ4,T3|T2G|Z3|T1,NASDAQ_GT5,GOOD,BULL_B,BULLISH_TRIGGER,GOOD,55,Bullish trigger candidate; needs context confirmation.,68,1.43,2.315,20.588,T1_analytics.docx,Unrestricted 4-bar sequence seed. Prior 3 = T3|T2G|Z3; final = T1.
T1_NASDAQ_GT5_SEQ4_010,T1,SEQ4,T4|T2G|Z3|T1,NASDAQ_GT5,GOOD,BULL_B,BULLISH_TRIGGER,GOOD,55,Bullish trigger candidate; needs context confirmation.,53,2.57,2.036,20.755,T1_analytics.docx,Unrestricted 4-bar sequence seed. Prior 3 = T4|T2G|Z3; final = T1.
T1_NASDAQ_GT5_SEQ4_011,T1,SEQ4,Z2G|T1|Z5|T1,NASDAQ_GT5,GOOD,BULL_B,BULLISH_TRIGGER,GOOD,55,Bullish trigger candidate; needs context confirmation.,44,2.669,1.808,18.182,T1_analytics.docx,Unrestricted 4-bar sequence seed. Prior 3 = Z2G|T1|Z5; final = T1.
T1_NASDAQ_GT5_SEQ4_012,T1,SEQ4,T9|Z4|Z2G|T1,NASDAQ_GT5,REJECT,SHORT_WATCH,BEARISH_CANDIDATE,REJECT,-40,Long-reject pattern. Promote to SHORT_GO only after breakdown confirmation.,64,2.154,1.542,25.0,T1_analytics.docx,Unrestricted 4-bar sequence seed. Prior 3 = T9|Z4|Z2G; final = T1.
T1_NASDAQ_GT5_REJECT_SEQ4_001,T1,REJECT_SEQ4,T9|T2G|Z4|T1,NASDAQ_GT5,REJECT,SHORT_WATCH,BEARISH_CANDIDATE,REJECT,-40,Long-reject pattern. Promote to SHORT_GO only after breakdown confirmation.,40,-4.736,-5.863,55.0,T1_analytics.docx,Unrestricted 4-bar sequence seed. Prior 3 = T9|T2G|Z4; final = T1.
T1_NASDAQ_GT5_REJECT_SEQ4_002,T1,REJECT_SEQ4,Z2|T4|Z3|T1,NASDAQ_GT5,REJECT,SHORT_WATCH,BEARISH_CANDIDATE,REJECT,-40,Long-reject pattern. Promote to SHORT_GO only after breakdown confirmation.,51,-3.774,-3.966,45.098,T1_analytics.docx,Unrestricted 4-bar sequence seed. Prior 3 = Z2|T4|Z3; final = T1.
T1_NASDAQ_GT5_REJECT_SEQ4_003,T1,REJECT_SEQ4,Z9|Z2|Z2G|T1,NASDAQ_GT5,REJECT,SHORT_WATCH,BEARISH_CANDIDATE,REJECT,-40,Long-reject pattern. Promote to SHORT_GO only after breakdown confirmation.,62,-3.411,-3.777,43.548,T1_analytics.docx,Unrestricted 4-bar sequence seed. Prior 3 = Z9|Z2|Z2G; final = T1.
T1_NASDAQ_GT5_REJECT_SEQ4_004,T1,REJECT_SEQ4,T2G|T2G|Z4|T1,NASDAQ_GT5,REJECT,SHORT_WATCH,BEARISH_CANDIDATE,REJECT,-40,Long-reject pattern. Promote to SHORT_GO only after breakdown confirmation.,69,-1.821,-3.001,36.232,T1_analytics.docx,Unrestricted 4-bar sequence seed. Prior 3 = T2G|T2G|Z4; final = T1.
T1_NASDAQ_GT5_REJECT_SEQ4_005,T1,REJECT_SEQ4,Z2|Z2|Z2G|T1,NASDAQ_GT5,REJECT,SHORT_WATCH,BEARISH_CANDIDATE,REJECT,-40,Long-reject pattern. Promote to SHORT_GO only after breakdown confirmation.,121,-3.101,-2.696,37.19,T1_analytics.docx,Unrestricted 4-bar sequence seed. Prior 3 = Z2|Z2|Z2G; final = T1.
T1_NASDAQ_GT5_REJECT_SEQ4_006,T1,REJECT_SEQ4,T2G|Z1G|Z2G|T1,NASDAQ_GT5,REJECT,SHORT_WATCH,BEARISH_CANDIDATE,REJECT,-40,Long-reject pattern. Promote to SHORT_GO only after breakdown confirmation.,55,-2.241,-2.591,34.545,T1_analytics.docx,Unrestricted 4-bar sequence seed. Prior 3 = T2G|Z1G|Z2G; final = T1.
T1_NASDAQ_GT5_REJECT_SEQ4_007,T1,REJECT_SEQ4,T2|Z9|Z2G|T1,NASDAQ_GT5,REJECT,SHORT_WATCH,BEARISH_CANDIDATE,REJECT,-40,Long-reject pattern. Promote to SHORT_GO only after breakdown confirmation.,89,-3.12,-2.356,40.449,T1_analytics.docx,Unrestricted 4-bar sequence seed. Prior 3 = T2|Z9|Z2G; final = T1.
T1_NASDAQ_GT5_REJECT_SEQ4_008,T1,REJECT_SEQ4,Z1|Z2|Z2G|T1,NASDAQ_GT5,REJECT,SHORT_WATCH,BEARISH_CANDIDATE,REJECT,-40,Long-reject pattern. Promote to SHORT_GO only after breakdown confirmation.,82,-2.229,-2.163,34.146,T1_analytics.docx,Unrestricted 4-bar sequence seed. Prior 3 = Z1|Z2|Z2G; final = T1.
T2_BASELINE_SP500,T2,BASELINE,T2,SP500,AVERAGE,BULL_WATCH,BULLISH_CONTEXT,AVERAGE,35,Average T signal; use only with confirming composite/sequence/EMA/price-position.,,,0.188,16.749,T2_analytics.docx,"n=11,720 | rr=1.024"
T2_BASELINE_NASDAQ_GT5,T2,BASELINE,T2,NASDAQ >$5,REJECT,SHORT_WATCH,BEARISH_CANDIDATE,REJECT,-40,Long-reject pattern. Promote to SHORT_GO only after breakdown confirmation.,,,0.046,25.333,T2_analytics.docx,"n=39,972 | rr=1.266"
T2_SP500_COMPOSITE_001,T2,COMPOSITE,T2L12NB,SP500,GOOD,BULL_B,BULLISH_TRIGGER,GOOD,55,Bullish trigger candidate; needs context confirmation.,118,2.673,1.053,12.712,T2_analytics.docx,Composite rule seed from T2_analytics.docx
T2_SP500_COMPOSITE_002,T2,COMPOSITE,T2L34NB,SP500,AVERAGE,BULL_WATCH,BULLISH_CONTEXT,AVERAGE,35,Average T signal; use only with confirming composite/sequence/EMA/price-position.,141,1.33,0.738,16.312,T2_analytics.docx,Composite rule seed from T2_analytics.docx
T2_SP500_COMPOSITE_003,T2,COMPOSITE,T2L3EB,SP500,AVERAGE,BULL_WATCH,BULLISH_CONTEXT,AVERAGE,35,Average T signal; use only with confirming composite/sequence/EMA/price-position.,296,0.569,0.486,16.216,T2_analytics.docx,Composite rule seed from T2_analytics.docx
T2_SP500_COMPOSITE_004,T2,COMPOSITE,T2L12EB,SP500,AVERAGE,BULL_WATCH,BULLISH_CONTEXT,AVERAGE,35,Average T signal; use only with confirming composite/sequence/EMA/price-position.,170,0.085,0.474,15.294,T2_analytics.docx,Composite rule seed from T2_analytics.docx
T2_SP500_COMPOSITE_005,T2,COMPOSITE,T2L34NDP,SP500,AVERAGE,BULL_WATCH,BULLISH_CONTEXT,AVERAGE,35,Average T signal; use only with confirming composite/sequence/EMA/price-position.,157,1.48,0.436,13.376,T2_analytics.docx,Composite rule seed from T2_analytics.docx
T2_SP500_COMPOSITE_006,T2,COMPOSITE,T2L34NP,SP500,AVERAGE,BULL_WATCH,BULLISH_CONTEXT,AVERAGE,35,Average T signal; use only with confirming composite/sequence/EMA/price-position.,164,0.191,0.388,18.902,T2_analytics.docx,Composite rule seed from T2_analytics.docx
T2_SP500_COMPOSITE_007,T2,COMPOSITE,T2L12NU,SP500,AVERAGE,BULL_WATCH,BULLISH_CONTEXT,AVERAGE,35,Average T signal; use only with confirming composite/sequence/EMA/price-position.,1103,0.744,0.363,16.138,T2_analytics.docx,Composite rule seed from T2_analytics.docx
T2_SP500_COMPOSITE_008,T2,COMPOSITE,T2L3EUR,SP500,AVERAGE,BULL_WATCH,BULLISH_CONTEXT,AVERAGE,35,Average T signal; use only with confirming composite/sequence/EMA/price-position.,727,0.417,0.35,16.919,T2_analytics.docx,Composite rule seed from T2_analytics.docx
